id,title,description,category,resolution,priority
TKT-0244,[Ticket] Contractor jdoe requires Jira a...,[Ticket] Contractor jdoe requires Jira access.,Access Management,Urgent: Provision a standard license for kmiller and assign to the Contractor user-tier.,Medium
TKT-0245,High CPU utilization warning on main com...,High CPU utilization warning on main compute cluster. Happens intermittently.,Infrastructure,[Ticket] Scale out autoscaling group parameters locally and monitor graph drops.,High
TKT-0246,BGP route flapping on the outbound gatew...,BGP route flapping on the outbound gateway.,Network,Contact ISP to verify ASN route advertisement stability policies. Please fix ASAP.,High
TKT-0247,Server cache-server-01 keeps crash...,Help: Server cache-server-01 keeps crashing with out of memory exception.,Infrastructure,Increase RAM allocation to web-prod-1 by 16GB and restart daemon. Need assistance.,High
TKT-0248,Password reset requested for executive a...,Password reset requested for executive account.,Access Management,Verify identity via phone callback and issue temporary secure password link. Happens intermittently.,Medium
TKT-0249,Disk space alert on production V...,Urgent: Disk space alert on production VM. Need assistance.,Infrastructure,Execute log rotation algorithm and purge generic temp files via script.,Medium
TKT-0250,Packet loss spikes detected between core...,Packet loss spikes detected between core switches. Please fix ASAP.,Network,Check physical fiber connections and spanning tree protocol logs.,Low
TKT-0251,Payment form throwing 'Invalid Tok...,Help: Payment form throwing 'Invalid Token' upon submission. Happens intermittently.,Application,[Ticket] Regenerate Stripe API keys and update the secret manager cache.,Low
TKT-0252,[Ticket] Payment form throwing 'Invalid ...,[Ticket] Payment form throwing 'Invalid Token' upon submission. This is blocking us.,Application,Regenerate Stripe API keys and update the secret manager cache.,High
TKT-0253,Detected suspicious login attempt from e...,Detected suspicious login attempt from external IP block.,Security,Block IP range temporarily in WAF and force password reset for user jdoe.,Low
TKT-0254,Packet loss spikes detected between core...,Packet loss spikes detected between core switches.,Network,Check physical fiber connections and spanning tree protocol logs.,Critical
TKT-0255,Detected suspicious login attempt from e...,Detected suspicious login attempt from external IP block.,Security,Block IP range temporarily in WAF and force password reset for user asmith.,High
TKT-0256,VPN connection failing for remot...,Urgent: VPN connection failing for remote users in branch office.,Network,Error: Restart the Cisco AnyConnect headend router and clear active sessions.,Critical
TKT-0257,Detected suspicious login attempt from e...,Detected suspicious login attempt from external IP block.,Security,Help: Block IP range temporarily in WAF and force password reset for user bwilliams.,Medium
TKT-0258,Issue: Missing permissions to deploy to ...,Issue: Missing permissions to deploy to production AWS account.,Access Management,Assign IAM role 'Prod-Deployer' temporarily for 24 hours to kmiller.,High
TKT-0259,Deadlock detected between transaction en...,Deadlock detected between transaction engines.,Database,Refactor the commit ordering sequence in the backend ORM mapped models.,Critical
TKT-0260,Database backup failed last night.,Database backup failed last night.,Database,Check S3 backup bucket permissions and manually trigger the cron snapshot.,High
TKT-0261,The Inventory System module is returning...,The Inventory System module is returning blank pages intermittently.,Application,Restart the node backend processes processing frontend API calls.,Medium
TKT-0262,Missing permissions to deploy to product...,Missing permissions to deploy to production AWS account.,Access Management,Assign IAM role 'Prod-Deployer' temporarily for 24 hours to bwilliams.,High
TKT-0263,Login button is unresponsive on mobile S...,Login button is unresponsive on mobile Safari.,Application,Update the frontend JS polyfills supporting legacy Safari engine.,High
TKT-0264,Issue: BGP route flapping on the outboun...,Issue: BGP route flapping on the outbound gateway.,Network,Contact ISP to verify ASN route advertisement stability policies.,Critical
TKT-0265,Contractor jdoe requires Jira access.,Contractor jdoe requires Jira access.,Access Management,Provision a standard license for rjohnson and assign to the Contractor user-tier.,Low
TKT-0266,Packet loss spikes detected betw...,Urgent: Packet loss spikes detected between core switches.,Network,Help: Check physical fiber connections and spanning tree protocol logs.,High
TKT-0267,[Ticket] DNS resolution failing for inte...,[Ticket] DNS resolution failing for internal domain corp.local.,Network,Issue: Flush DNS cache locally and re-sync internal records on Active Directory.,High
TKT-0268,Detected suspicious login attempt from e...,Detected suspicious login attempt from external IP block.,Security,Block IP range temporarily in WAF and force password reset for user rjohnson.,Critical
TKT-0269,BGP route flapping on the outbound gatew...,BGP route flapping on the outbound gateway. This is blocking us.,Network,Contact ISP to verify ASN route advertisement stability policies.,Medium
TKT-0270,Error: Server web-prod-1 keeps crashing ...,Error: Server web-prod-1 keeps crashing with out of memory exception.,Infrastructure,[Ticket] Increase RAM allocation to auth-cluster-A by 16GB and restart daemon. Please fix ASAP.,High
TKT-0271,High CPU utilization warning on main com...,High CPU utilization warning on main compute cluster.,Infrastructure,Scale out autoscaling group parameters locally and monitor graph drops. Happens intermittently.,Low
TKT-0272,Database connection pool timeout c...,Help: Database connection pool timeout causing slow loading.,Database,Increase PostgreSQL max_connections setting from 100 to 500.,Low
TKT-0273,[Ticket] Deadlock detected between trans...,[Ticket] Deadlock detected between transaction engines.,Database,Refactor the commit ordering sequence in the backend ORM mapped models.,High
TKT-0274,Deadlock detected between transaction en...,Deadlock detected between transaction engines.,Database,Help: Refactor the commit ordering sequence in the backend ORM mapped models.,Critical
TKT-0275,Deadlock detected between transaction en...,Deadlock detected between transaction engines.,Database,[Ticket] Refactor the commit ordering sequence in the backend ORM mapped models.,Critical
TKT-0276,Error: Payment form throwing 'Invalid To...,Error: Payment form throwing 'Invalid Token' upon submission. This is blocking us.,Application,Issue: Regenerate Stripe API keys and update the secret manager cache.,High
TKT-0277,BGP route flapping on the outbound gatew...,BGP route flapping on the outbound gateway.,Network,[Ticket] Contact ISP to verify ASN route advertisement stability policies.,Critical
TKT-0278,Password reset requested for executive a...,Password reset requested for executive account.,Access Management,Verify identity via phone callback and issue temporary secure password link.,Medium
TKT-0279,Payment form throwing 'Invalid Token' up...,Payment form throwing 'Invalid Token' upon submission. This is blocking us.,Application,[Ticket] Regenerate Stripe API keys and update the secret manager cache. Happens intermittently.,Critical
TKT-0280,Missing permissions to deploy to product...,Missing permissions to deploy to production AWS account.,Access Management,Issue: Assign IAM role 'Prod-Deployer' temporarily for 24 hours to bwilliams. This is blocking us.,Medium
TKT-0281,App crashes when uploading files...,Urgent: App crashes when uploading files larger than 10MB.,Application,Error: Change the nginx.conf client_max_body_size setting mapping to 50M.,High
TKT-0282,Error: Index fragmentation leading to sl...,Error: Index fragmentation leading to slow SELECT performance. Happens intermittently.,Database,Urgent: Run REINDEX TABLE manually during off-peak hours. Happens intermittently.,High
TKT-0283,Vulnerability scan flagged outdated Open...,Vulnerability scan flagged outdated OpenSSL library.,Security,Patch the OS images across the fleet to the latest LTS security patch.,Critical
TKT-0284,Server analytics-node keeps crashing wit...,Server analytics-node keeps crashing with out of memory exception.,Infrastructure,Issue: Increase RAM allocation to cache-server-01 by 16GB and restart daemon. This is blocking us.,Critical
TKT-0285,Missing permissions to deploy to product...,Missing permissions to deploy to production AWS account.,Access Management,Assign IAM role 'Prod-Deployer' temporarily for 24 hours to rjohnson.,Medium
TKT-0286,Long running analytical queries blocking...,Long running analytical queries blocking OLTP transactions.,Database,Kill PID 4974 mapping to the slow query and route analytics to the read replica.,Critical
TKT-0287,Disk space alert on production VM.,Disk space alert on production VM.,Infrastructure,Urgent: Execute log rotation algorithm and purge generic temp files via script.,High
TKT-0288,High CPU utilization warning on main com...,High CPU utilization warning on main compute cluster.,Infrastructure,Scale out autoscaling group parameters locally and monitor graph drops.,Medium
TKT-0289,User bwilliams needs access to Github re...,User bwilliams needs access to Github repository. Happens intermittently.,Access Management,Issue: Add bwilliams to the 'Developers' GitHub organization group with write permissions.,Low
TKT-0290,BGP route flapping on the outbound gatew...,BGP route flapping on the outbound gateway.,Network,Contact ISP to verify ASN route advertisement stability policies.,High
TKT-0291,Issue: Login button is unresponsive on m...,Issue: Login button is unresponsive on mobile Safari.,Application,Error: Update the frontend JS polyfills supporting legacy Safari engine.,Critical
TKT-0292,Deadlock detected between transaction en...,Deadlock detected between transaction engines. This is blocking us.,Database,Refactor the commit ordering sequence in the backend ORM mapped models.,High
TKT-0293,Vulnerability scan flagged outdated Open...,Vulnerability scan flagged outdated OpenSSL library.,Security,Help: Patch the OS images across the fleet to the latest LTS security patch. Please fix ASAP.,Critical
TKT-0294,Contractor jdoe requires Jira access.,Contractor jdoe requires Jira access.,Access Management,Provision a standard license for jdoe and assign to the Contractor user-tier.,Low
TKT-0295,App crashes when uploading files larger ...,App crashes when uploading files larger than 10MB.,Application,Change the nginx.conf client_max_body_size setting mapping to 50M.,High
TKT-0296,VPN connection failing for remote users ...,VPN connection failing for remote users in branch office.,Network,Error: Restart the Cisco AnyConnect headend router and clear active sessions.,High
TKT-0297,Error: Payment form throwing 'Invalid To...,Error: Payment form throwing 'Invalid Token' upon submission.,Application,Regenerate Stripe API keys and update the secret manager cache.,Low
TKT-0298,Deployment pipeline failing for ...,Urgent: Deployment pipeline failing for Customer Portal on EC2 instances.,Infrastructure,Clear IAM cache on the runner and restart the Jenkins pipeline.,Critical
TKT-0299,Long running analytical queries ...,Urgent: Long running analytical queries blocking OLTP transactions.,Database,Kill PID 3480 mapping to the slow query and route analytics to the read replica.,Medium
TKT-0300,Deadlock detected between transaction en...,Deadlock detected between transaction engines.,Database,Help: Refactor the commit ordering sequence in the backend ORM mapped models.,Low
TKT-0301,User asmith needs access to Github repos...,User asmith needs access to Github repository.,Access Management,Add jdoe to the 'Developers' GitHub organization group with write permissions.,Critical
TKT-0302,VPN connection failing for remote users ...,VPN connection failing for remote users in branch office. Happens intermittently.,Network,Restart the Cisco AnyConnect headend router and clear active sessions.,High
TKT-0303,Unencrypted S3 bucket alert.,Unencrypted S3 bucket alert.,Security,Error: Enable AES256 server-side encryption via AWS console policies.,Low
TKT-0304,Unencrypted S3 bucket alert.,Unencrypted S3 bucket alert.,Security,Help: Enable AES256 server-side encryption via AWS console policies. Happens intermittently.,High
TKT-0305,BGP route flapping on the outbound gatew...,BGP route flapping on the outbound gateway. This is blocking us.,Network,Contact ISP to verify ASN route advertisement stability policies.,Medium
TKT-0306,Malware detected on workstation WS-ENGIN...,Malware detected on workstation WS-ENGINEERING-1.,Security,"Error: Isolate MAC-DESIGN-8 from the network, run deep antivirus scan, and reinstall OS if needed.",Critical
TKT-0307,Disk space alert on production VM.,Disk space alert on production VM.,Infrastructure,Execute log rotation algorithm and purge generic temp files via script.,Medium
TKT-0308,User jdoe needs access to Github reposit...,User jdoe needs access to Github repository.,Access Management,Error: Add asmith to the 'Developers' GitHub organization group with write permissions.,Low
TKT-0309,Login button is unresponsive on ...,Urgent: Login button is unresponsive on mobile Safari.,Application,Error: Update the frontend JS polyfills supporting legacy Safari engine. Happens intermittently.,High
TKT-0310,Error: DNS resolution failing for intern...,Error: DNS resolution failing for internal domain intranet.internal. This is blocking us.,Network,Help: Flush DNS cache locally and re-sync internal records on Active Directory.,Critical
TKT-0311,The HR Dashboard module is returning bla...,The HR Dashboard module is returning blank pages intermittently.,Application,Restart the node backend processes processing frontend API calls.,High
TKT-0312,Issue: The Billing API module is returni...,Issue: The Billing API module is returning blank pages intermittently. This is blocking us.,Application,Help: Restart the node backend processes processing frontend API calls.,High
TKT-0313,Index fragmentation leading to slow SELE...,Index fragmentation leading to slow SELECT performance. Happens intermittently.,Database,Help: Run REINDEX TABLE manually during off-peak hours.,Low
TKT-0314,Detected suspicious login attempt ...,Help: Detected suspicious login attempt from external IP block. Please fix ASAP.,Security,Block IP range temporarily in WAF and force password reset for user asmith.,Critical
TKT-0315,Deployment pipeline failing for Mobile G...,Deployment pipeline failing for Mobile Gateway on EC2 instances.,Infrastructure,Clear IAM cache on the runner and restart the Jenkins pipeline.,High
TKT-0316,Missing permissions to deploy to product...,Missing permissions to deploy to production AWS account.,Access Management,Assign IAM role 'Prod-Deployer' temporarily for 24 hours to bwilliams.,High
TKT-0317,Contractor rjohnson requires Jira access...,Contractor rjohnson requires Jira access. Happens intermittently.,Access Management,Help: Provision a standard license for jdoe and assign to the Contractor user-tier.,Low
TKT-0318,DNS resolution failing for internal doma...,DNS resolution failing for internal domain corp.local.,Network,Flush DNS cache locally and re-sync internal records on Active Directory.,High
TKT-0319,Issue: Kubernetes pod stuck in crash loo...,Issue: Kubernetes pod stuck in crash loop backoff.,Infrastructure,Delete the failing pod to force replica set recreation and inspect container logs.,Critical
TKT-0320,Database connection pool timeout causing...,Database connection pool timeout causing slow loading.,Database,Increase PostgreSQL max_connections setting from 100 to 500.,Medium
TKT-0321,Contractor kmiller requires Jira access.,Contractor kmiller requires Jira access.,Access Management,[Ticket] Provision a standard license for kmiller and assign to the Contractor user-tier.,High
TKT-0322,App crashes when uploading files larger ...,App crashes when uploading files larger than 10MB. Please fix ASAP.,Application,Issue: Change the nginx.conf client_max_body_size setting mapping to 50M.,High
TKT-0323,VPN connection failing for remote users ...,VPN connection failing for remote users in branch office.,Network,Urgent: Restart the Cisco AnyConnect headend router and clear active sessions.,High
TKT-0324,App crashes when uploading files l...,Help: App crashes when uploading files larger than 10MB.,Application,Error: Change the nginx.conf client_max_body_size setting mapping to 50M.,High
TKT-0325,Malware detected on workstation LAPTOP-7...,Malware detected on workstation LAPTOP-72A.,Security,"Isolate LAPTOP-72A from the network, run deep antivirus scan, and reinstall OS if needed. Need assistance.",Low
TKT-0326,Disk space alert on production VM.,Disk space alert on production VM.,Infrastructure,Execute log rotation algorithm and purge generic temp files via script.,Low
TKT-0327,Slow internet speeds reported acro...,Help: Slow internet speeds reported across campus network.,Network,Identify top bandwidth hogging devices and apply QoS rate limiting.,Low
TKT-0328,Database backup failed last night.,Database backup failed last night.,Database,Error: Check S3 backup bucket permissions and manually trigger the cron snapshot.,High
TKT-0329,Server auth-cluster-A keeps crashing wit...,Server auth-cluster-A keeps crashing with out of memory exception.,Infrastructure,Increase RAM allocation to db-prod-2 by 16GB and restart daemon.,Critical
TKT-0330,API endpoint vulnerable to SQL Injection...,API endpoint vulnerable to SQL Injection.,Security,Urgent: Sanitize input parameters immediately via parameterized queries update. Please fix ASAP.,Low
TKT-0331,Detected suspicious login attempt from e...,Detected suspicious login attempt from external IP block. This is blocking us.,Security,Block IP range temporarily in WAF and force password reset for user rjohnson.,High
TKT-0332,BGP route flapping on the outbound gatew...,BGP route flapping on the outbound gateway. Happens intermittently.,Network,Contact ISP to verify ASN route advertisement stability policies.,Critical
TKT-0333,Disk space alert on production VM.,Disk space alert on production VM.,Infrastructure,Execute log rotation algorithm and purge generic temp files via script.,High
TKT-0334,Index fragmentation leading to slow SELE...,Index fragmentation leading to slow SELECT performance.,Database,Issue: Run REINDEX TABLE manually during off-peak hours.,Medium
TKT-0335,Deployment pipeline failing for Inventor...,Deployment pipeline failing for Inventory System on EC2 instances.,Infrastructure,Clear IAM cache on the runner and restart the Jenkins pipeline. This is blocking us.,Critical
TKT-0336,Deployment pipeline failing for ...,Urgent: Deployment pipeline failing for Inventory System on EC2 instances.,Infrastructure,Clear IAM cache on the runner and restart the Jenkins pipeline.,Critical
TKT-0337,DNS resolution failing for internal doma...,DNS resolution failing for internal domain dev.staging. This is blocking us.,Network,Flush DNS cache locally and re-sync internal records on Active Directory.,High
TKT-0338,Malware detected on workstation MAC-DESI...,Malware detected on workstation MAC-DESIGN-8.,Security,"Error: Isolate LAPTOP-72A from the network, run deep antivirus scan, and reinstall OS if needed.",Medium
TKT-0339,Missing permissions to deploy to product...,Missing permissions to deploy to production AWS account.,Access Management,Assign IAM role 'Prod-Deployer' temporarily for 24 hours to bwilliams.,Medium
TKT-0340,Error: Kubernetes pod stuck in crash loo...,Error: Kubernetes pod stuck in crash loop backoff.,Infrastructure,Delete the failing pod to force replica set recreation and inspect container logs.,High
TKT-0341,Password reset requested for executive a...,Password reset requested for executive account.,Access Management,Help: Verify identity via phone callback and issue temporary secure password link.,Critical
TKT-0342,Deadlock detected between transaction en...,Deadlock detected between transaction engines.,Database,Refactor the commit ordering sequence in the backend ORM mapped models.,Medium
TKT-0343,Database connection pool timeout causing...,Database connection pool timeout causing slow loading.,Database,Increase PostgreSQL max_connections setting from 100 to 500.,High
TKT-0344,Packet loss spikes detected between core...,Packet loss spikes detected between core switches.,Network,Error: Check physical fiber connections and spanning tree protocol logs.,Critical
TKT-0345,[Ticket] API endpoint vulnerable to SQL ...,[Ticket] API endpoint vulnerable to SQL Injection. Please fix ASAP.,Security,Sanitize input parameters immediately via parameterized queries update. This is blocking us.,Medium
TKT-0346,Contractor rjohnson requires Jira access...,Contractor rjohnson requires Jira access.,Access Management,Provision a standard license for asmith and assign to the Contractor user-tier. Need assistance.,High
TKT-0347,Database backup failed last night.,Database backup failed last night.,Database,Check S3 backup bucket permissions and manually trigger the cron snapshot.,Critical
TKT-0348,User jdoe needs access to Github reposit...,User jdoe needs access to Github repository. Happens intermittently.,Access Management,[Ticket] Add asmith to the 'Developers' GitHub organization group with write permissions.,Critical
TKT-0349,Error: High CPU utilization warning on m...,Error: High CPU utilization warning on main compute cluster. Happens intermittently.,Infrastructure,Scale out autoscaling group parameters locally and monitor graph drops.,Critical
TKT-0350,Deployment pipeline failing for Customer...,Deployment pipeline failing for Customer Portal on EC2 instances. Please fix ASAP.,Infrastructure,Error: Clear IAM cache on the runner and restart the Jenkins pipeline.,Critical
TKT-0351,Password reset requested for exe...,Urgent: Password reset requested for executive account. Happens intermittently.,Access Management,Verify identity via phone callback and issue temporary secure password link. Need assistance.,High
TKT-0352,Disk space alert on production VM.,Disk space alert on production VM.,Infrastructure,Execute log rotation algorithm and purge generic temp files via script.,Critical
TKT-0353,Password reset requested for executive a...,Password reset requested for executive account.,Access Management,Urgent: Verify identity via phone callback and issue temporary secure password link.,High
TKT-0354,Kubernetes pod stuck in crash loop backo...,Kubernetes pod stuck in crash loop backoff.,Infrastructure,Issue: Delete the failing pod to force replica set recreation and inspect container logs. Please fix ASAP.,Critical
TKT-0355,Index fragmentation leading to slo...,Help: Index fragmentation leading to slow SELECT performance.,Database,Run REINDEX TABLE manually during off-peak hours.,Critical
TKT-0356,App crashes when uploading files...,Urgent: App crashes when uploading files larger than 10MB.,Application,Issue: Change the nginx.conf client_max_body_size setting mapping to 50M.,High
TKT-0357,User bwilliams needs access to Github re...,User bwilliams needs access to Github repository.,Access Management,Urgent: Add jdoe to the 'Developers' GitHub organization group with write permissions.,Low
TKT-0358,Malware detected on workstation LA...,Help: Malware detected on workstation LAPTOP-72A.,Security,"Isolate LAPTOP-72A from the network, run deep antivirus scan, and reinstall OS if needed. Happens intermittently.",Low
TKT-0359,Database connection pool timeout...,Urgent: Database connection pool timeout causing slow loading.,Database,Urgent: Increase PostgreSQL max_connections setting from 100 to 500. Need assistance.,High
TKT-0360,Issue: Deployment pipeline failing for H...,Issue: Deployment pipeline failing for HR Dashboard on EC2 instances. Need assistance.,Infrastructure,Clear IAM cache on the runner and restart the Jenkins pipeline.,High
TKT-0361,Slow internet speeds reported across cam...,Slow internet speeds reported across campus network. Happens intermittently.,Network,Identify top bandwidth hogging devices and apply QoS rate limiting.,Critical
TKT-0362,High CPU utilization warning on main com...,High CPU utilization warning on main compute cluster.,Infrastructure,Scale out autoscaling group parameters locally and monitor graph drops.,Low
TKT-0363,[Ticket] Password reset requested for ex...,[Ticket] Password reset requested for executive account.,Access Management,Verify identity via phone callback and issue temporary secure password link.,Critical
TKT-0364,Missing permissions to deploy to product...,Missing permissions to deploy to production AWS account.,Access Management,Assign IAM role 'Prod-Deployer' temporarily for 24 hours to bwilliams.,Critical
TKT-0365,High CPU utilization warning on main com...,High CPU utilization warning on main compute cluster. Happens intermittently.,Infrastructure,Urgent: Scale out autoscaling group parameters locally and monitor graph drops.,High
TKT-0366,Issue: App crashes when uploading files ...,Issue: App crashes when uploading files larger than 10MB.,Application,Change the nginx.conf client_max_body_size setting mapping to 50M. This is blocking us.,High
TKT-0367,Index fragmentation leading to slow SELE...,Index fragmentation leading to slow SELECT performance.,Database,[Ticket] Run REINDEX TABLE manually during off-peak hours.,Critical
TKT-0368,DNS resolution failing for internal doma...,DNS resolution failing for internal domain dev.staging.,Network,Flush DNS cache locally and re-sync internal records on Active Directory. Happens intermittently.,High
TKT-0369,Error: VPN connection failing for remote...,Error: VPN connection failing for remote users in branch office.,Network,[Ticket] Restart the Cisco AnyConnect headend router and clear active sessions.,Critical
TKT-0370,Disk space alert on production V...,Urgent: Disk space alert on production VM.,Infrastructure,Urgent: Execute log rotation algorithm and purge generic temp files via script.,Critical
TKT-0371,Deployment pipeline failing for Customer...,Deployment pipeline failing for Customer Portal on EC2 instances.,Infrastructure,Issue: Clear IAM cache on the runner and restart the Jenkins pipeline.,Critical
TKT-0372,Database connection pool timeout c...,Help: Database connection pool timeout causing slow loading.,Database,Increase PostgreSQL max_connections setting from 100 to 500.,Medium
TKT-0373,Index fragmentation leading to slo...,Help: Index fragmentation leading to slow SELECT performance.,Database,[Ticket] Run REINDEX TABLE manually during off-peak hours.,Low
TKT-0374,Deployment pipeline failing for Inventor...,Deployment pipeline failing for Inventory System on EC2 instances.,Infrastructure,Clear IAM cache on the runner and restart the Jenkins pipeline.,High
TKT-0375,Long running analytical queries blocking...,Long running analytical queries blocking OLTP transactions.,Database,Kill PID 8692 mapping to the slow query and route analytics to the read replica.,Critical
TKT-0376,Kubernetes pod stuck in crash loop backo...,Kubernetes pod stuck in crash loop backoff.,Infrastructure,Delete the failing pod to force replica set recreation and inspect container logs.,Critical
TKT-0377,Login button is unresponsive on ...,Urgent: Login button is unresponsive on mobile Safari. Please fix ASAP.,Application,Issue: Update the frontend JS polyfills supporting legacy Safari engine.,Low
TKT-0378,API endpoint vulnerable to SQL Injection...,API endpoint vulnerable to SQL Injection. Please fix ASAP.,Security,Help: Sanitize input parameters immediately via parameterized queries update.,Critical
TKT-0379,Deployment pipeline failing for HR Dashb...,Deployment pipeline failing for HR Dashboard on EC2 instances.,Infrastructure,Error: Clear IAM cache on the runner and restart the Jenkins pipeline.,Critical
TKT-0380,Deadlock detected between transaction en...,Deadlock detected between transaction engines.,Database,Issue: Refactor the commit ordering sequence in the backend ORM mapped models.,High
TKT-0381,User kmiller needs access to Github repo...,User kmiller needs access to Github repository.,Access Management,Add jdoe to the 'Developers' GitHub organization group with write permissions.,Critical
TKT-0382,Error: Login button is unresponsive on m...,Error: Login button is unresponsive on mobile Safari.,Application,Error: Update the frontend JS polyfills supporting legacy Safari engine. Need assistance.,High
TKT-0383,Database backup failed last night. Pleas...,Database backup failed last night. Please fix ASAP.,Database,Check S3 backup bucket permissions and manually trigger the cron snapshot.,Critical
TKT-0384,BGP route flapping on the outbound gatew...,BGP route flapping on the outbound gateway. Need assistance.,Network,Contact ISP to verify ASN route advertisement stability policies.,Low
TKT-0385,API endpoint vulnerable to SQL Inj...,Help: API endpoint vulnerable to SQL Injection.,Security,Sanitize input parameters immediately via parameterized queries update.,Low
TKT-0386,Packet loss spikes detected betw...,Urgent: Packet loss spikes detected between core switches.,Network,Check physical fiber connections and spanning tree protocol logs.,Medium
TKT-0387,Error: Kubernetes pod stuck in crash loo...,Error: Kubernetes pod stuck in crash loop backoff.,Infrastructure,Delete the failing pod to force replica set recreation and inspect container logs.,Critical
TKT-0388,Error: Packet loss spikes detected betwe...,Error: Packet loss spikes detected between core switches.,Network,Urgent: Check physical fiber connections and spanning tree protocol logs.,Critical
TKT-0389,User rjohnson needs access to Github rep...,User rjohnson needs access to Github repository.,Access Management,Add bwilliams to the 'Developers' GitHub organization group with write permissions.,Medium
TKT-0390,Database backup failed last night.,Database backup failed last night.,Database,Help: Check S3 backup bucket permissions and manually trigger the cron snapshot.,High
TKT-0391,Deployment pipeline failing for Inventor...,Deployment pipeline failing for Inventory System on EC2 instances.,Infrastructure,Urgent: Clear IAM cache on the runner and restart the Jenkins pipeline.,High
TKT-0392,[Ticket] Malware detected on workstation...,[Ticket] Malware detected on workstation LAPTOP-72A.,Security,"Isolate WS-ENGINEERING-1 from the network, run deep antivirus scan, and reinstall OS if needed. This is blocking us.",Low
TKT-0393,App crashes when uploading files...,Urgent: App crashes when uploading files larger than 10MB.,Application,Change the nginx.conf client_max_body_size setting mapping to 50M.,High
TKT-0394,VPN connection failing for remote users ...,VPN connection failing for remote users in branch office. Please fix ASAP.,Network,Restart the Cisco AnyConnect headend router and clear active sessions.,Critical
TKT-0395,[Ticket] Database backup failed last nig...,[Ticket] Database backup failed last night.,Database,Check S3 backup bucket permissions and manually trigger the cron snapshot.,High
TKT-0396,Deployment pipeline failing for Mobile G...,Deployment pipeline failing for Mobile Gateway on EC2 instances. Happens intermittently.,Infrastructure,Clear IAM cache on the runner and restart the Jenkins pipeline.,High
TKT-0397,[Ticket] Contractor bwilliams requires J...,[Ticket] Contractor bwilliams requires Jira access.,Access Management,Help: Provision a standard license for bwilliams and assign to the Contractor user-tier. This is blocking us.,High
TKT-0398,Long running analytical queries blocking...,Long running analytical queries blocking OLTP transactions.,Database,Kill PID 4103 mapping to the slow query and route analytics to the read replica.,Medium
TKT-0399,[Ticket] Unencrypted S3 bucket alert.,[Ticket] Unencrypted S3 bucket alert.,Security,Issue: Enable AES256 server-side encryption via AWS console policies. Please fix ASAP.,Critical
TKT-0400,Malware detected on workstation MAC-DESI...,Malware detected on workstation MAC-DESIGN-8.,Security,"Isolate LAPTOP-72A from the network, run deep antivirus scan, and reinstall OS if needed.",High
TKT-0401,Error: Database backup failed last night...,Error: Database backup failed last night.,Database,Check S3 backup bucket permissions and manually trigger the cron snapshot.,High
TKT-0402,API endpoint vulnerable to SQL Injection...,API endpoint vulnerable to SQL Injection. This is blocking us.,Security,Sanitize input parameters immediately via parameterized queries update.,Low
TKT-0403,"Error: Employee left company, please rev...","Error: Employee left company, please revoke permissions. Happens intermittently.",Access Management,"Error: Execute offboarding script to disable AD, email, and internal VPN accounts.",Critical
TKT-0404,Slow internet speeds reported across cam...,Slow internet speeds reported across campus network. Please fix ASAP.,Network,Issue: Identify top bandwidth hogging devices and apply QoS rate limiting.,High
TKT-0405,User jdoe needs access to Github reposit...,User jdoe needs access to Github repository.,Access Management,Add bwilliams to the 'Developers' GitHub organization group with write permissions.,Low
TKT-0406,Slow internet speeds reported across cam...,Slow internet speeds reported across campus network.,Network,Identify top bandwidth hogging devices and apply QoS rate limiting. Please fix ASAP.,Medium
TKT-0407,DNS resolution failing for internal doma...,DNS resolution failing for internal domain corp.local.,Network,Flush DNS cache locally and re-sync internal records on Active Directory.,High
TKT-0408,Contractor kmiller requires Jira access.,Contractor kmiller requires Jira access.,Access Management,Urgent: Provision a standard license for rjohnson and assign to the Contractor user-tier. Happens intermittently.,Critical
TKT-0409,User jdoe needs access to Github reposit...,User jdoe needs access to Github repository.,Access Management,Add jdoe to the 'Developers' GitHub organization group with write permissions.,High
TKT-0410,Login button is unresponsive on mobile S...,Login button is unresponsive on mobile Safari. Please fix ASAP.,Application,Update the frontend JS polyfills supporting legacy Safari engine.,Critical
TKT-0411,Vulnerability scan flagged outdated Open...,Vulnerability scan flagged outdated OpenSSL library.,Security,Patch the OS images across the fleet to the latest LTS security patch. This is blocking us.,Low
TKT-0412,App crashes when uploading files larger ...,App crashes when uploading files larger than 10MB.,Application,Change the nginx.conf client_max_body_size setting mapping to 50M.,High
TKT-0413,Error: Disk space alert on production VM...,Error: Disk space alert on production VM. Need assistance.,Infrastructure,Execute log rotation algorithm and purge generic temp files via script.,Low
TKT-0414,Slow internet speeds reported across cam...,Slow internet speeds reported across campus network.,Network,Identify top bandwidth hogging devices and apply QoS rate limiting.,Low
TKT-0415,Issue: Payment form throwing 'Invalid To...,Issue: Payment form throwing 'Invalid Token' upon submission.,Application,Regenerate Stripe API keys and update the secret manager cache.,Low
TKT-0416,Missing permissions to deploy to product...,Missing permissions to deploy to production AWS account.,Access Management,Assign IAM role 'Prod-Deployer' temporarily for 24 hours to bwilliams.,Medium
TKT-0417,Users reporting 500 internal server erro...,Users reporting 500 internal server error on checkout.,Application,Help: Rollback the last hotfix release v2.7.3 and check application load balancer endpoints.,Low
